trigger_team,2up_triggered,comeback_occurred
Southampton,False,False
Rotherham,False,False
Preston,False,False
Millwall,False,False
Blackburn,False,False
Cardiff,False,False
Bristol City,False,False
Coventry,False,False
Huddersfield,False,False
QPR,False,False
Hull,False,False
Southampton,False,False
Middlesbrough,False,False
Birmingham,False,False
Norwich,False,False
Leeds,False,False
Stoke,False,False
Sunderland,False,False
Swansea,False,False
Leicester,True,False
Watford,False,False
Sheffield Weds,False,False
West Brom,False,False
Plymouth,False,False
Huddersfield,False,False
Cardiff,True,False
Millwall,False,False
Blackburn,False,False
Norwich,False,False
Middlesbrough,False,False
Swansea,False,False
Watford,False,False
Leicester,False,False
Sunderland,False,False
West Brom,True,False
QPR,False,False
Birmingham,False,False
Hull,True,False
Bristol City,False,False
Ipswich,False,False
Plymouth,True,False
Sheffield Weds,False,False
Preston,False,False
Southampton,False,False
Rotherham,True,False
Coventry,False,False
Stoke,False,False
Leeds,False,False
Leeds,True,False
Huddersfield,False,False
Southampton,True,False
Birmingham,False,False
Blackburn,False,False
Swansea,False,False
Cardiff,True,False
Bristol City,False,False
Hull,False,False
Preston,False,False
Ipswich,False,False
Plymouth,False,False
Middlesbrough,False,False
Stoke,True,False
QPR,False,False
Leicester,False,False
Sunderland,True,False
Norwich,False,False
Watford,False,False
Millwall,False,False
Sheffield Weds,True,False
Rotherham,False,False
Coventry,False,False
West Brom,True,False
Leicester,False,False
Leeds,False,False
Birmingham,False,False
Ipswich,False,False
Bristol City,False,False
Sheffield Weds,False,False
Huddersfield,False,False
Watford,False,False
Millwall,False,False
Southampton,False,False
Plymouth,False,False
Middlesbrough,False,False
Preston,False,False
Coventry,False,False
Rotherham,False,False
QPR,False,False
Stoke,False,False
Cardiff,False,False
Swansea,False,False
Sunderland,False,False
West Brom,True,False
Hull,False,False
Norwich,False,False
Blackburn,True,False
Rotherham,False,False
Ipswich,False,False
Blackburn,False,False
Preston,False,False
Sunderland,True,False
Birmingham,False,False
Cardiff,False,False
Norwich,False,False
Coventry,False,False
Stoke,False,False
Hull,False,False
Huddersfield,False,False
Ipswich,False,False
Swansea,False,False
Leeds,False,False
Plymouth,False,False
Middlesbrough,False,False
Leicester,False,False
QPR,False,False
Bristol City,False,False
Sheffield Weds,False,False
Millwall,True,False
Southampton,False,False
West Brom,False,False
Watford,True,False
Rotherham,False,False
Rotherham,False,False
Leeds,False,False
Birmingham,False,False
Sheffield Weds,False,False
Bristol City,False,False
Middlesbrough,False,False
Huddersfield,False,False
Southampton,False,False
Leicester,True,False
Watford,False,False
Millwall,False,False
Coventry,True,False
Norwich,False,False
QPR,False,False
Plymouth,True,False
Sunderland,False,False
Preston,False,False
Cardiff,False,False
Stoke,False,False
Blackburn,True,False
Swansea,False,False
Hull,False,False
West Brom,True,False
Ipswich,False,False
Cardiff,False,False
West Brom,False,False
